Read_Name	Origin_Gene	Mapped_Gene
Read45576	PKD1P4	PKD1P6
Read77504	PKD1P2	PKD1P5
Read75599	PKD1P1	PKD1P1
Read13653	PKD1P2	PKD1P2
Read73662	PKD1P5	PKD1P5
Read58846	PKD1	PKD1
Read64321	PKD1	PKD1
Read71491	PKD1P2	PKD1P2
Read20381	PKD1P5	PKD1P5
Read40147	PKD1P2	PKD1P2
Read89212	PKD1P3	PKD1P3
Read45342	PKD1P4	PKD1P1
Read28834	PKD1P5	PKD1P5
Read60932	PKD1P5	PKD1P5
Read25834	PKD1P6	PKD1P6
Read4738	PKD1P1	PKD1P1
