Read_Name	Origin_Gene	Mapped_Gene
Read824	PKD1P1	NONE
Read825	PKD1	PKD1
Read826	PKD1P5	PKD1P5
Read827	PKD1P3	NONE
Read828	PKD1P5	NONE
Read829	PKD1	PKD1
Read830	PKD1P3	NONE
Read831	PKD1P1	NONE
Read832	PKD1P4	NONE
Read833	PKD1P5	NONE
Read834	PKD1P6	PKD1P6
Read835	PKD1P5	NONE
Read836	PKD1P3	NONE
Read837	PKD1P2	PKD1P2
Read838	PKD1P3	NONE
Read839	PKD1P6	PKD1P6
Read840	PKD1P4	NONE
Read841	PKD1P6	PKD1P6
Read842	PKD1P2	NONE
Read843	PKD1P6	PKD1P6
Read844	PKD1P6	PKD1P6
Read845	PKD1P5	NONE
Read846	PKD1P1	NONE
Read847	PKD1	PKD1
Read848	PKD1P1	NONE
Read849	PKD1P2	NONE
Read850	PKD1	PKD1
Read851	PKD1P6	PKD1P6
Read852	PKD1P5	NONE
Read853	PKD1P3	NONE
Read854	PKD1P6	PKD1P6
Read855	PKD1P4	NONE
Read856	PKD1	PKD1
Read857	PKD1P2	NONE
Read858	PKD1P2	PKD1P2
Read859	PKD1P3	NONE
Read860	PKD1P3	PKD1P3
Read861	PKD1P4	NONE
Read862	PKD1P1	NONE
Read863	PKD1P1	NONE
Read864	PKD1P2	NONE
Read865	PKD1P5	NONE
Read866	PKD1P2	NONE
Read867	PKD1P6	NONE
Read868	PKD1P4	NONE
Read869	PKD1	PKD1
Read870	PKD1P4	PKD1P4
Read871	PKD1P1	NONE
Read872	PKD1P2	NONE
Read873	PKD1P2	NONE
Read874	PKD1P4	NONE
Read875	PKD1P2	NONE
Read876	PKD1P5	PKD1P5
Read877	PKD1P5	NONE
Read878	PKD1P4	NONE
Read879	PKD1	PKD1
Read880	PKD1P4	NONE
Read881	PKD1P3	PKD1P3
Read882	PKD1P1	NONE
Read883	PKD1P5	NONE
Read884	PKD1	PKD1
Read885	PKD1P6	PKD1P6
Read886	PKD1P1	NONE
