Read_Name	Origin_Gene	Mapped_Gene
Read60738	PKD1	PKD1
Read60740	PKD1P4	PKD1P4
Read60742	PKD1P6	PKD1P6
Read60743	PKD1P3	PKD1P3
Read60744	PKD1P2	PKD1P2
Read60747	PKD1P2	PKD1P2
Read60751	PKD1P6	PKD1P6
Read60752	PKD1P2	PKD1P2
Read60754	PKD1	PKD1
Read60757	PKD1P6	PKD1P6
Read60759	PKD1P2	PKD1P2
Read60762	PKD1	PKD1
Read60766	PKD1P2	PKD1P2
Read60767	PKD1	PKD1
Read60771	PKD1	PKD1
Read60773	PKD1P3	PKD1P3
Read60774	PKD1P6	PKD1P6
Read60775	PKD1	PKD1
Read60781	PKD1	PKD1
Read60783	PKD1P6	PKD1P6
Read60784	PKD1	PKD1
Read60789	PKD1	PKD1
Read60790	PKD1P3	PKD1P3
Read60791	PKD1P5	PKD1P5
Read60793	PKD1	PKD1
Read60796	PKD1	PKD1
Read60798	PKD1	PKD1
Read60799	PKD1	PKD1
Read60801	PKD1P2	PKD1P2
Read60805	PKD1P6	PKD1P6
Read60814	PKD1P6	PKD1P6
Read60815	PKD1P3	PKD1P3
Read60817	PKD1P4	PKD1P4
Read60819	PKD1	PKD1
Read60820	PKD1P6	PKD1P6
Read60821	PKD1P6	PKD1P6
Read60822	PKD1	PKD1
Read60825	PKD1	PKD1
Read60830	PKD1	PKD1
Read60831	PKD1P6	PKD1P6
Read60833	PKD1	PKD1
Read60835	PKD1P4	PKD1P4
Read60837	PKD1P6	PKD1P6
Read60839	PKD1	PKD1
Read60840	PKD1P6	PKD1P6
Read60842	PKD1	PKD1
Read60843	PKD1	PKD1
Read60849	PKD1P2	PKD1P2
Read60852	PKD1P4	PKD1P4
Read60854	PKD1P4	PKD1P4
Read60860	PKD1	PKD1
Read60861	PKD1P5	PKD1P5
Read60862	PKD1P1	PKD1P1
Read60864	PKD1	PKD1
Read60865	PKD1P1	PKD1P1
Read60867	PKD1P5	PKD1P5
Read60868	PKD1P6	PKD1P6
Read60869	PKD1	PKD1
Read60871	PKD1P6	PKD1P6
Read60873	PKD1	PKD1
Read60874	PKD1P3	PKD1P3
Read60875	PKD1P4	PKD1P4
Read60878	PKD1	PKD1
Read60880	PKD1P6	PKD1P6
Read60886	PKD1	PKD1
Read60887	PKD1P3	PKD1P3
Read60897	PKD1P6	PKD1P6
Read60900	PKD1P6	PKD1P6
Read60905	PKD1P2	PKD1P2
Read60906	PKD1P6	PKD1P6
Read60907	PKD1P6	PKD1P6
Read60908	PKD1P4	PKD1P4
Read60909	PKD1	PKD1
Read60910	PKD1P6	PKD1P6
Read60915	PKD1	PKD1
Read60925	PKD1	PKD1
Read60926	PKD1	PKD1
Read60931	PKD1	PKD1
Read60932	PKD1P3	PKD1P3
Read60933	PKD1	PKD1
Read60934	PKD1P4	PKD1P4
Read60935	PKD1P3	PKD1P3
Read60937	PKD1P4	PKD1P4
Read60938	PKD1	PKD1
Read60939	PKD1	PKD1
Read60941	PKD1P6	PKD1P6
Read60942	PKD1P5	PKD1P5
Read60946	PKD1P1	PKD1P1
Read60948	PKD1P6	PKD1P6
Read60950	PKD1P4	PKD1P4
Read60960	PKD1P1	PKD1P1
Read60962	PKD1	PKD1
Read60965	PKD1	PKD1
Read60967	PKD1	PKD1
Read60973	PKD1P6	PKD1P6
Read60974	PKD1	PKD1
Read60975	PKD1	PKD1
Read60976	PKD1	PKD1
Read60979	PKD1P5	PKD1P5
Read60980	PKD1P4	PKD1P4
Read60982	PKD1P6	PKD1P6
Read60983	PKD1P3	PKD1P3
Read60985	PKD1P6	PKD1P6
Read60987	PKD1	PKD1
Read60989	PKD1P3	PKD1P3
Read60991	PKD1P6	PKD1P6
Read60993	PKD1	PKD1
Read60994	PKD1	PKD1
Read60995	PKD1	PKD1
Read60997	PKD1	PKD1
Read60998	PKD1P3	PKD1P3
Read60999	PKD1P1	PKD1P1
Read61000	PKD1	PKD1
Read61004	PKD1P6	PKD1P6
Read61005	PKD1P6	PKD1P6
Read61006	PKD1P4	PKD1P4
Read61012	PKD1	PKD1
Read61013	PKD1P6	PKD1P6
Read61015	PKD1P1	PKD1P4
Read61019	PKD1P6	PKD1P6
Read61023	PKD1P4	PKD1P4
Read61025	PKD1P6	PKD1P6
Read61027	PKD1P6	PKD1P6
Read61029	PKD1	PKD1
Read61034	PKD1P4	PKD1P4
Read61035	PKD1P6	PKD1P6
Read61039	PKD1P6	PKD1P6
Read61042	PKD1P4	PKD1P4
Read61045	PKD1P6	PKD1P6
